FIELD1,FIELD2,FIELD3
FMP,2414,C
FMP,2415,C
FMP,2416,C
FMS,2358,A
FMS,2359,C
FTDM,2524,D
FTDM,2525,D
HLM,2828,I
HLM,2829,J
HRM,2973,I
HRM,2974,H
HTDM,3132,E
HTDM,3133,E
HTOR,2734,C
HTOR,2735,C
IBP,2929,A
IBP,2930,A
IBP,2931,B
IBP,2932,B
IBP,2933,B
LDA,1039,
LDA,1040,
MCS,3445,A
MCS,3446,D
MTDM,3599,G
MTDM,3600,G
PBM,3908,B
PBM,3909,C
PFL,4049,A
PFN,4176,J
PFN,4177,A
PHT,4312,C
PHT,4313,A
PMK,4446,B
PMK,4447,C
PRP,3101,A
PRP,3102,A
PRP,3103,B
PRP,3104,B
PRP,3105,B
QSRM,4583,G
QSRM,4584,F
RFSM,4715,A
RMS,4835,G
SEM,4963,H
SEM,4964,G
SEOR,3209,A
SEOR,3210,A
SEPP,3322,A
SEPP,3323,A
SEPP,3324,D
TTDM,5495,I
TTDM,5496,I
ADC,1153,G
ADC,1154,G
BLTDM,1779,F
BLTDM,1780,F
HTDM,3354,F
HTDM,3355,F
LDA,1181,
MTDM,3821,H
MTDM,3822,H
QSRM,4668,A
AAM,1073,K
BFS,1464,E
BSM,1932,C
BTDM,2192,I
BTDM,2193,I
EPP,2164,A
EPP,2165,A
EPP,2166,A
FTDM,2658,E
FTDM,2659,E
HRM,3038,G
PBM,3972,J
PFN,4231,K
QSRM,4643,K
RFSM,4779,B
SEM,5016,C
STDM,5281,G
STDM,5282,G
TTDM,5647,C
TTDM,5648,C
BLTDM,1719,A
BLTDM,1720,A
BTDM,2194,J
BTDM,2195,J
BTDM,2196,G
BTDM,2197,G
FTDM,2660,F
FTDM,2661,F
HTDM,3288,G
HTDM,3289,G
PFL,4099,I
PMK,4500,K
QSRM,4644,B
SEM,5017,A
STDM,5287,F
STDM,5288,F
ADC,1097,G
ADC,1098,E
ADC,1099,E
ADC,1100,E
BFS,1459,K
BLTDM,1703,E
BLTDM,1704,E
BTDM,2172,I
BTDM,2173,I
CMP,1493,C
CMP,1494,C
EIP,2012,I
EIP,2013,I
FCE,2292,A
FMP,2474,D
FMP,2475,D
FMP,2476,D
FMS,2408,H
HLM,2882,H
HRM,3031,B
HRM,3032,K
HTDM,3264,I
HTDM,3265,I
MTDM,3737,J
MTDM,3738,J
MTDM,3739,G
MTDM,3740,G
QSRM,4634,C
RMS,4881,I
SEM,5011,H
SEOR,3262,E
SEOR,3263,E
SEOR,3264,E
SEPP,3367,B
SEPP,3368,B
STDM,5263,H
STDM,5264,H
TTDM,5629,D
